"date","hour","kW_hourly","Electricity.Facility..kW..Hourly.","Gas.Facility..kW..Hourly.","Heating.Electricity..kW..Hourly.","Heating.Gas..kW..Hourly.","Cooling.Electricity..kW..Hourly.","HVACFan.Fans.Electricity..kW..Hourly.","Electricity.HVAC..kW..Hourly.","Fans.Electricity..kW..Hourly.","General.InteriorLights.Electricity..kW..Hourly.","General.ExteriorLights.Electricity..kW..Hourly.","Appl.InteriorEquipment.Electricity..kW..Hourly.","Misc.InteriorEquipment.Electricity..kW..Hourly.","Water.Heater.WaterSystems.Electricity..kW..Hourly.","total"
2013-09-02,23,NA,1.53722820149,0.0260247186883,0,0,0.327139807401,0.104178603139,0.43131841054,0.104178603139,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.184584366136,3.6193341353439
2013-09-03,23,NA,1.28914880174,0.0260247186883,0,0,0.137483670717,0.0451837371194,0.182667407837,0.0451837371194,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.185155969091,2.8155294671227
2013-09-04,23,NA,1.29764589345,0.0260247186883,0,0,0.167413085959,0.0548549475581,0.222268033517,0.0548549475581,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.169587280455,2.8817954866601
2013-09-05,23,NA,1.30035597827,0.0260247186883,0,0,0.168782824857,0.0556589656719,0.224441790529,0.0556589656719,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.170123608269,2.8901934314317
2013-09-06,23,NA,1.43265851871,0.0260247186883,0,0,0.270533152307,0.0856601922627,0.35619334457,0.0856601922627,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.170674594662,3.3165512929373
2013-09-07,23,NA,1.49386809536,0.0260247186883,0,0,0.31609944523,0.10073831146,0.41683775669,0.10073831146,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.171239759191,3.5146929775539
2013-09-08,23,NA,1.36558004847,0.0260247186883,0,0,0.218410623891,0.069560971388,0.287971595279,0.069560971388,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.171817873715,3.0980733822939
2013-09-09,23,NA,1.44077432966,0.0260247186883,0,0,0.250690707782,0.0798316249297,0.330522332711,0.0798316249297,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.188926572138,3.3012833356493
2013-09-10,23,NA,1.5090887107,0.0260247186883,0,0,0.302478950328,0.0956753484913,0.398154298819,0.0956753484913,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.189608987074,3.5213877874025
2013-09-11,23,NA,1.40243558132,0.0260247186883,0,0,0.244143837767,0.078868533268,0.323012371035,0.078868533268,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.173632630809,3.2161327856299
2013-09-12,23,0.080196180496,1.44576751716,0.0260247186883,0,0,0.277333816714,0.0883788349333,0.365712651647,0.0883788349333,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.174264286041,3.4352034200875
2013-09-13,23,0.077542155852,1.31094479051,0.0260247186883,0,0,0.173178708861,0.0570676846736,0.230246393535,0.0570676846736,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.1749078175,2.9961265337681
2013-09-14,23,0.070532792795,1.39634115526,0.0260247186883,0,0,0.238771730519,0.0762138374528,0.314985567972,0.0762138374528,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.175565007818,3.2637952274325
2013-09-15,23,NA,1.5759993577,0.0260247186883,0,0,0.377549520749,0.116424051427,0.493973572176,0.116424051427,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.176235206056,3.7717770576979
2013-09-16,23,NA,1.51651963028,0.0260247186883,0,0,0.307268702644,0.0939156339179,0.401184336562,0.0939156339179,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.194009868911,3.5375199497317
2013-09-17,23,0.014504736904,1.6371183204,0.0260247186883,0,0,0.399006947839,0.121994460645,0.521001408484,0.121994460645,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.194791487105,3.9411179655209
2013-09-18,23,NA,1.3373959823,0.0260247186883,0,0,0.190857086371,0.0624333059213,0.253290392292,0.0624333059213,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.178315010533,2.9998963815015
2013-09-19,23,NA,1.2639770133,0.0260247186883,0,0,0.134806276382,0.0443483509829,0.179154627365,0.0443483509829,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.179031806459,2.7608377236347
2013-09-20,23,NA,1.19077214485,0.0260247186883,0,0,0.0790996276299,0.0261220744968,0.105221702127,0.0261220744968,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.179759863247,2.5222687850104
2013-09-21,23,NA,1.21318066748,0.0260247186883,0,0,0.0954172568663,0.0314731919777,0.126890448844,0.0314731919777,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.180499639167,2.5941056944756
2013-09-22,23,NA,1.34485407195,0.0260247186883,0,0,0.195062187916,0.0627503421306,0.257812530046,0.0627503421306,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.181250962433,3.0196517347691
2013-09-23,23,NA,1.33198318646,0.0260247186883,0,0,0.15993162567,0.0509718133162,0.210903438987,0.0509718133162,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.199754322662,2.9352223439103
2013-09-24,23,NA,1.27479508629,0.0260247186883,0,0,0.11499370226,0.037852265601,0.152845967861,0.037852265601,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.200623693618,2.7496691247299
2013-09-25,23,NA,1.08944084928,0.0260247186883,0,0,0,0,0,0,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.183650269806,2.1882624172489
2013-09-26,23,NA,1.09022996244,0.0260247186883,0,0,0,0,0,0,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.184439382963,2.1898406435659
2013-09-27,23,NA,1.14981355977,0.0260247186883,0,0,0.044161452361,0.0145754683137,0.0587369206747,0.0145754683137,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.185286059623,2.382320227219
2013-09-28,23,NA,1.33411863868,0.0260247186883,0,0,0.183668127995,0.0586869378359,0.242355065831,0.0586869378359,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.185972993377,2.9786599997177
2013-09-29,23,NA,1.09295669394,0.0260247186883,0,0,0,0,0,0,0.299784834635,0.0645816047026,0.146949064735,0.377831075402,0.187166114468,2.1952941065709
2013-09-30,23,NA,1.31171284662,0.0260247186883,0,0,0.138423924788,0.0458826256387,0.184306550426,0.0458826256387,0.299784834635,0.0645816047026,0.162483910071,0.377831075402,0.206080871384,2.8629955879943
2013-10-01,23,NA,1.22500711251,0.028630117972,0,0,0.0516822168505,0.0173300874286,0.0690123042791,0.0173300874286,0.296421128362,0.0638569903163,0.156389433469,0.415656683625,0.20702657246,2.5483427347011
2013-10-02,23,NA,1.39730326682,0.028630117972,0,0,0.209243844147,0.065314513427,0.274558357574,0.065314513427,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.189311518811,3.1464655226153
2013-10-03,23,NA,1.4604960251,0.028630117972,0,0,0.256096651646,0.0807979149469,0.336894566593,0.0807979149469,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.19016806807,3.3506706497121
2013-10-04,23,NA,1.12471925121,0.028630117972,0,0,0,0,0,0,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.191285860773,2.2614246203923
2013-10-05,23,NA,1.12535147628,0.028630117972,0,0,0,0,0,0,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.191918085839,2.2626890705283
2013-10-06,23,NA,1.12830328058,0.028630117972,0,0,0,0,0,0,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.194869890144,2.2685926791333
2013-10-07,23,NA,1.16199154007,0.028630117972,0,0,0,0,0,0,0.296421128362,0.0638569903163,0.156389433469,0.415656683625,0.213023304294,2.3359691981083
2013-10-08,23,NA,1.16329805298,0.028630117972,0,0,0,0,0,0,0.296421128362,0.0638569903163,0.156389433469,0.415656683625,0.214329817207,2.3385822239313
2013-10-09,23,NA,1.13003872672,0.028630117972,0,0,0,0,0,0,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.196605336288,2.2720635714173
2013-10-10,23,NA,1.17467557974,0.028630117972,0,0,0.0336267573696,0.0112421593571,0.0448689167267,0.0112421593571,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.196373272574,2.4174483535338
2013-10-11,23,NA,1.20663754956,0.028630117972,0,0,0.0570794690663,0.0188370719527,0.075916541019,0.0188370719527,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.1972876181,2.52001483006
2013-10-12,23,NA,1.29078485047,0.028630117972,0,0,0.120254172635,0.0388888489573,0.159143021592,0.0388888489573,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.198208438438,2.7915876894589
2013-10-13,23,NA,1.290486669,0.028630117972,0,0,0.119505629351,0.0384136838631,0.157919313214,0.0384136838631,0.296421128362,0.0638569903163,0.140854588134,0.415656683625,0.199133965345,2.7892924530455
